id,cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1,1372,2,2,10,3.807466754,1545,11,1.804272709,1
2,1461,2,2,10,3.807466754,1557,11,1.804272709,1
3,1371,2,2,10,3.612496295,1566,11,1.804272709,1
4,1261,6,2,10,3.78757181,1566,11,1.804272709,1
5,1305,6,2,10,3.711971019,1464,11,0.943194554,1
6,1337,6,2,10,3.775634843,1520,11,0.943194554,1
7,1300,2,2,10,3.835319677,1563,11,1.804272709,1
8,1354,6,2,10,3.676160118,1532,11,0.888450288,1
9,1222,6,2,10,3.771655854,1476,11,0.943194554,1
10,1085,6,2,10,3.775634843,1581,11,0.888450288,1
11,1214,6,2,10,3.696055063,1524,11,1.804272709,1
12,642,6,2,10,0.286061509,1311,11,0.943194554,1
13,814,4,2,10,1.189292007,1681,11,0.943194554,1
14,550,4,2,10,0.548674782,1220,11,0.888450288,1
15,606,6,2,10,0.254229598,1239,11,0.943194554,1
16,721,6,2,10,0.950552669,1445,11,0.943194554,1
17,595,6,2,10,0.604380628,1415,11,0.888450288,1
18,661,4,2,10,0.437263091,1150,11,0.888450288,1
19,587,6,2,10,0.59642265,1531,11,0.943194554,1
20,835,6,2,10,0.90678379,1603,11,0.888450288,1
21,705,4,2,10,0.083133072,1122,11,0.888450288,1
22,599,4,2,10,0.576527705,1306,11,0.888450288,1
23,619,4,2,10,0.389515223,1195,11,0.943194554,1
24,648,6,2,10,0.727729286,1370,11,0.888450288,1
25,778,6,2,10,0.811288054,1514,11,0.943194554,1
26,692,6,2,10,0.652128495,1307,11,0.943194554,1
27,804,4,2,10,0.870972889,1517,11,0.888450288,1
28,660,6,2,10,0.98238458,1626,11,0.943194554,1
29,547,6,2,10,0.520821859,1191,11,0.888450288,1
30,846,6,2,10,1.173376051,1613,11,0.888450288,1
31,826,6,2,10,1.050027393,1593,11,0.888450288,1
32,834,6,2,10,1.014216492,1591,11,0.888450288,1
33,664,4,2,10,0.719771308,1140,11,0.943194554,1
34,763,6,2,10,0.819246032,1614,11,0.888450288,1
35,718,6,2,10,0.719771308,1291,11,0.888450288,1
36,594,6,2,10,0.743645242,1333,11,0.888450288,1
37,641,6,2,10,0.747624231,1577,11,0.888450288,1
38,840,4,2,10,0.962489636,1465,11,0.943194554,1
39,728,4,2,10,1.165418073,1577,11,0.943194554,1
40,539,6,2,10,0.787414121,1394,11,0.888450288,1
41,605,4,2,10,0.914741768,1561,11,0.943194554,1
42,613,6,2,10,0.660086473,1352,11,0.888450288,1
43,675,6,2,10,0.608359617,1499,11,0.943194554,1
44,510,6,2,10,0.409410168,1172,11,0.943194554,1
45,618,6,2,10,0.71181333,1510,11,0.943194554,1
46,638,6,2,10,0.652128495,1635,11,0.888450288,1
47,585,4,2,10,0.676002429,1332,11,0.943194554,1
48,837,6,2,10,0.668044451,1323,11,0.888450288,1
49,688,6,2,10,0.847098955,1421,11,0.888450288,1
50,805,6,2,10,0.210460719,1330,11,0.943194554,1
51,762,6,2,10,0.723750297,1484,11,0.888450288,1
52,640,6,2,10,0.664065462,1250,11,0.888450288,1
53,699,4,2,10,0.962489636,1506,11,0.943194554,1
54,674,6,2,10,0.429305113,1667,11,0.943194554,1
55,662,6,2,10,1.057985371,1755,11,0.943194554,1
56,736,6,2,10,0.779456143,1404,11,0.943194554,1
57,563,6,2,10,0.616317595,1419,11,0.943194554,1
58,756,6,2,10,1.054006382,1392,11,0.943194554,1
59,705,4,2,10,1.081859305,1534,11,0.888450288,1
60,802,6,2,10,1.248976842,1578,11,0.888450288,1
61,591,6,2,10,0.060110532,1166,11,0.943194554,1
62,708,4,2,10,0.851077944,1533,11,0.888450288,1
63,717,4,2,10,0.807309065,1499,11,0.888450288,1
64,573,4,2,10,0.723750297,1375,11,0.888450288,1
65,622,4,2,10,1.169397062,1482,11,0.943194554,1
66,516,6,2,10,0.425326124,995,11,0.943194554,1
67,763,6,2,10,0.679981418,1396,11,0.943194554,1
68,592,4,2,10,0.990342558,1615,11,0.888450288,1
69,580,4,2,10,0.329830388,1368,11,0.888450288,1
70,635,6,2,10,0.429305113,1241,11,0.943194554,1
71,626,6,2,10,0.369620278,1443,11,0.943194554,1
72,793,6,2,10,0.795372099,1485,11,0.943194554,1
73,607,6,2,10,0.449200057,1190,11,0.888450288,1
74,528,4,2,10,0.266166565,1355,11,0.943194554,1
75,758,6,2,10,0.660086473,1336,11,0.888450288,1
76,780,6,2,10,0.353704322,1405,11,0.943194554,1
77,855,4,2,10,1.046048404,1575,11,0.888450288,1
78,752,4,2,10,0.731708275,1273,11,0.888450288,1
79,700,6,2,10,0.954531658,1414,11,0.888450288,1
80,582,4,2,10,0.803330076,1288,11,0.943194554,1
81,693,4,2,10,0.863014911,1245,11,0.943194554,1
82,657,4,2,10,0.63223355,1477,11,0.943194554,1
83,645,4,2,10,0.51684287,1301,11,0.888450288,1
84,677,4,2,10,0.735687264,1477,11,0.943194554,1
85,722,6,2,10,0.67202344,1331,11,0.943194554,1
